Variable,Normality,p_value,Skewness,Skew_Desc,Kurtosis,Kurt_Desc,Standardization
received_count,Not-normal,0.0,636.2743330660452,Positively skewed,542539.8830225255,Leptokurtic,Box-Cox
total_received_eth,Not-normal,0.0,1172.7599924967208,Positively skewed,1375364.0000007735,Leptokurtic,Box-Cox
sent_count,Not-normal,0.0,600.6904420244074,Positively skewed,455850.90243345906,Leptokurtic,Box-Cox
total_sent_eth,Not-normal,0.0,1172.7599924967208,Positively skewed,1375364.0000007735,Leptokurtic,Box-Cox
type_dex,Not-normal,0.0,1062.975231923559,Positively skewed,1333750.5259724755,Leptokurtic,Box-Cox
type_lending,Not-normal,0.0,2138.039879309527,Positively skewed,5069083.649748258,Leptokurtic,Box-Cox
type_stablecoin,Not-normal,0.0,665.8817066203245,Positively skewed,631838.0481828616,Leptokurtic,Box-Cox
type_yield_farming,Not-normal,0.0,1603.5600791443542,Positively skewed,3158498.5840115296,Leptokurtic,Box-Cox
type_nft_fi,Not-normal,0.0,1608.2664481815493,Positively skewed,2860517.8702681977,Leptokurtic,Box-Cox
curve_dao_count,Not-normal,0.0,1104.5079612599543,Positively skewed,1408833.8778510664,Leptokurtic,Box-Cox
aave_count,Not-normal,0.0,1160.1452546319904,Positively skewed,1864632.6975078878,Leptokurtic,Box-Cox
tether_count,Not-normal,0.0,807.9912515270042,Positively skewed,881850.4105847694,Leptokurtic,Box-Cox
uniswap_count,Not-normal,0.0,879.5994682063629,Positively skewed,1021695.4951120536,Leptokurtic,Box-Cox
maker_count,Not-normal,0.0,2223.421880326582,Positively skewed,5356492.381764899,Leptokurtic,Box-Cox
yearn_finance_count,Not-normal,0.0,1685.0004763386462,Positively skewed,3399699.3920400785,Leptokurtic,Box-Cox
usdc_count,Not-normal,0.0,787.5432467650112,Positively skewed,849307.7979684897,Leptokurtic,Box-Cox
dai_count,Not-normal,0.0,1406.9592073673211,Positively skewed,2603506.519983478,Leptokurtic,Box-Cox
balancer_count,Not-normal,0.0,853.3896614383181,Positively skewed,1011212.0049050282,Leptokurtic,Box-Cox
harvest_finance_count,Not-normal,0.0,1485.7235920131116,Positively skewed,2586003.2568240655,Leptokurtic,Box-Cox
nftfi_count,Not-normal,0.0,1608.2664481815493,Positively skewed,2860517.8702681977,Leptokurtic,Box-Cox
protocol_type_diversity,Not-normal,0.0,18.40311623227318,Positively skewed,344.4267105273436,Leptokurtic,Log
protocol_name_diversity,Not-normal,0.0,16.11182693401833,Positively skewed,297.8749290311805,Leptokurtic,Log
