protocol,blockchain,contract
Uniswap,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
Uniswap,xdai,0x4537e328bf7e4efa29d05caea260d7fe26af9d74
Uniswap,near-protocol,1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near
Uniswap,optimistic-ethereum,0x6fd9d7ad17242c41f7131d257212c54a0e816691
Uniswap,huobi-token,0x22c54ce8321a4015740ee1109d9cbc25815c46e6
Uniswap,arbitrum-one,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0
Uniswap,polygon-pos,0xb33eaad8d922b1083446dc23f610c2567fb5180f
Uniswap,harmony-shard-0,0x90d81749da8867962c760414c1c25ec926e889b6
Uniswap,avalanche,0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580
Uniswap,energi,0x665b3a802979ec24e076c80025bff33c18eb6007
Uniswap,sora,0x009be848df92a400da2f217256c88d1a9b1a0304f9b3e90991a67418e1d3b08c
Uniswap,binance-smart-chain,0xbf5140a22578168fd562dccf235e5d43a02ce9b1
Curve DAO,ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52
Curve DAO,optimistic-ethereum,0x0994206dfe8de6ec6920ff4d779b0d950605fb53
Curve DAO,polygon-pos,0x172370d5cd63279efa6d502dab29171933a610af
Curve DAO,fantom,0x1e4f97b9f9f913c46f1632781732927b9019c68b
Curve DAO,arbitrum-one,0x11cdb42b0eb46d95f990bedd4695a6e3fa034978
Curve DAO,energi,0xd3319eaf3c4743ac75aace77befcfa445ed6e69e
Curve DAO,sora,0x002ead91a2de57b8855b53d4a62c25277073fd7f65f7e5e79f4936ed747fcad0
Balancer,ethereum,0xba100000625a3754423978a60c9317c58a424e3d
Balancer,xdai,0x7ef541e2a22058048904fe5744f9c7e4c57af717
Balancer,polygon-zkevm,0x120ef59b80774f02211563834d8e3b72cb1649d6
Balancer,optimistic-ethereum,0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921
Balancer,near-protocol,ba100000625a3754423978a60c9317c58a424e3d.factory.bridge.near
Balancer,base,0x4158734d47fc9692176b5085e0f52ee0da5d47f1
Balancer,harmony-shard-0,0xdc5f76104d0b8d2bf2c2bbe06cdfe17004e9010f
Balancer,huobi-token,0x045de15ca76e76426e8fc7cba8392a3138078d0f
Balancer,polygon-pos,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3
Balancer,arbitrum-one,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8
Balancer,avalanche,0xe15bcb9e0ea69e6ab9fa080c4c4a5632896298c3
Balancer,energi,0x9b817c6e9a38e604606aea3ad6ed271ce8eaa9d6
Aave,ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
Aave,optimistic-ethereum,0x76fb31fb4af56892a25e32cfc43de717950c9278
Aave,near-protocol,7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.factory.bridge.near
Aave,huobi-token,0x202b4936fe1a82a4965220860ae46d7d3939bb25
Aave,polygon-pos,0xd6df932a45c0f255f85145f286ea0b292b21c90b
Aave,fantom,0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b
Aave,harmony-shard-0,0xcf323aad9e522b93f11c352caa519ad0e14eb40f
Aave,arbitrum-one,0xba5ddd1f9d7f570dc94a51479a000e3bce967196
Aave,avalanche,0x63a72806098bd3d9520cc43356dd78afe5d386d9
Aave,energi,0xa7f2f790355e0c32cab03f92f6eb7f488e6f049a
Aave,sora,0x0091bd8d8295b25cab5a7b8b0e44498e678cfc15d872ede3215f7d4c7635ba36
Aave,binance-smart-chain,0xfb6115445bff7b52feb98650c87f44907e58f802
Maker,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
Maker,polygon-pos,0x6f7c932e7684666c9fd1d44527765433e01ff61d
Maker,avalanche,0x88128fd4b259552a9a1d457f435a6527aab72d42
Maker,energi,0x050317d93f29d1ba5ff3eac3b8157fd4e345588d
Maker,sora,0x00ec184ef0b4bd955db05eea5a8489ae72888ab6e63682a15beca1cd39344c8f
yearn.finance,ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
yearn.finance,xdai,0xbf65bfcb5da067446cee6a706ba3fe2fb1a9fdfd
yearn.finance,optimistic-ethereum,0x9046d36440290ffde54fe0dd84db8b1cfee9107b
yearn.finance,near-protocol,0bc529c00c6401aef6d220be8c6ea1667f6ad93e.factory.bridge.near
yearn.finance,base,0x9eaf8c1e34f05a589eda6bafdf391cf6ad3cb239
yearn.finance,energi,0x2726dd5efb3a209a54c512e9562a2045b8f45dbc
yearn.finance,huobi-token,0xb4f019beac758abbee2f906033aaa2f0f6dacb35
yearn.finance,polygon-pos,0xda537104d6a5edd53c6fbba9a898708e465260b6
yearn.finance,fantom,0x29b0da86e484e1c0029b56e817912d778ac0ec69
yearn.finance,arbitrum-one,0x82e3a8f066a6989666b031d916c43672085b1582
yearn.finance,harmony-shard-0,0xa0dc05f84a27fccbd341305839019ab86576bc07
yearn.finance,avalanche,0x9eaac1b23d935365bd7b542fe22ceee2922f52dc
yearn.finance,sora,0x002676c3edea5b08bc0f9b6809a91aa313b7da35e28b190222e9dc032bf1e662
Harvest Finance,ethereum,0xa0246c9032bc3a600820415ae600c6388619a14d
Harvest Finance,binance-smart-chain,0x4b5c23cac08a567ecf0c1ffca8372a45a5d33743
Harvest Finance,energi,0xc59a4b20ea0f8a7e6e216e7f1b070247520a4514
Dai,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f
USDC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
USDC,zksync,0x1d17cbcf0d6d143135ae902365d2e5e2a16538d4
USDC,optimistic-ethereum,0x0b2c639c533813f4aa9d7837caf62653d097ff85
USDC,polkadot,1337
USDC,tron,TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8
USDC,near-protocol,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1
USDC,hedera-hashgraph,0.0.456858
USDC,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913
USDC,arbitrum-one,0xaf88d065e77c8cc2239327c5edb3a432268e5831
USDC,polygon-pos,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359
USDC,aptos,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b
